,date,value,vol,ScripCode,CompanyName
0,Wed Apr 26 2023 00:00:00,2362.05,145620,500325,RELIANCE INDUSTRIES LTD.
1,Thu Apr 27 2023 00:00:00,2377.5,85772,500325,RELIANCE INDUSTRIES LTD.
2,Fri Apr 28 2023 00:00:00,2420.2,394972,500325,RELIANCE INDUSTRIES LTD.
3,Tue May 02 2023 00:00:00,2441.05,145848,500325,RELIANCE INDUSTRIES LTD.
4,Wed May 03 2023 00:00:00,2419.8,89389,500325,RELIANCE INDUSTRIES LTD.
5,Thu May 04 2023 00:00:00,2447.8,88436,500325,RELIANCE INDUSTRIES LTD.
6,Fri May 05 2023 00:00:00,2441.3,81483,500325,RELIANCE INDUSTRIES LTD.
7,Mon May 08 2023 00:00:00,2471.35,92596,500325,RELIANCE INDUSTRIES LTD.
8,Tue May 09 2023 00:00:00,2479.15,65220,500325,RELIANCE INDUSTRIES LTD.
9,Wed May 10 2023 00:00:00,2496.3,99083,500325,RELIANCE INDUSTRIES LTD.
10,Thu May 11 2023 00:00:00,2478.3,98850,500325,RELIANCE INDUSTRIES LTD.
11,Fri May 12 2023 00:00:00,2484.1,61427,500325,RELIANCE INDUSTRIES LTD.
12,Mon May 15 2023 00:00:00,2488.15,67628,500325,RELIANCE INDUSTRIES LTD.
13,Tue May 16 2023 00:00:00,2453.85,83298,500325,RELIANCE INDUSTRIES LTD.
14,Wed May 17 2023 00:00:00,2438.8,158298,500325,RELIANCE INDUSTRIES LTD.
15,Thu May 18 2023 00:00:00,2433.85,56823,500325,RELIANCE INDUSTRIES LTD.
16,Fri May 19 2023 00:00:00,2442.8,54880,500325,RELIANCE INDUSTRIES LTD.
17,Mon May 22 2023 00:00:00,2454.5,144136,500325,RELIANCE INDUSTRIES LTD.
18,Tue May 23 2023 00:00:00,2454.1,87497,500325,RELIANCE INDUSTRIES LTD.
19,Wed May 24 2023 00:00:00,2437.05,154319,500325,RELIANCE INDUSTRIES LTD.
20,Thu May 25 2023 00:00:00,2438.55,186194,500325,RELIANCE INDUSTRIES LTD.
21,Fri May 26 2023 00:00:00,2506.55,261121,500325,RELIANCE INDUSTRIES LTD.
22,Wed Apr 26 2023 00:00:00,3199.7,40943,532540,TATA CONSULTANCY SERVICES LTD.
23,Thu Apr 27 2023 00:00:00,3187.1,80128,532540,TATA CONSULTANCY SERVICES LTD.
24,Fri Apr 28 2023 00:00:00,3216.0,51644,532540,TATA CONSULTANCY SERVICES LTD.
25,Tue May 02 2023 00:00:00,3219.2,69567,532540,TATA CONSULTANCY SERVICES LTD.
26,Wed May 03 2023 00:00:00,3180.3,53799,532540,TATA CONSULTANCY SERVICES LTD.
27,Thu May 04 2023 00:00:00,3220.35,74186,532540,TATA CONSULTANCY SERVICES LTD.
28,Fri May 05 2023 00:00:00,3230.85,23445,532540,TATA CONSULTANCY SERVICES LTD.
29,Mon May 08 2023 00:00:00,3249.95,53011,532540,TATA CONSULTANCY SERVICES LTD.
30,Tue May 09 2023 00:00:00,3283.9,23799,532540,TATA CONSULTANCY SERVICES LTD.
31,Wed May 10 2023 00:00:00,3285.95,62216,532540,TATA CONSULTANCY SERVICES LTD.
32,Thu May 11 2023 00:00:00,3281.5,22830,532540,TATA CONSULTANCY SERVICES LTD.
33,Fri May 12 2023 00:00:00,3273.75,19204,532540,TATA CONSULTANCY SERVICES LTD.
34,Mon May 15 2023 00:00:00,3253.15,20898,532540,TATA CONSULTANCY SERVICES LTD.
35,Tue May 16 2023 00:00:00,3257.0,20043,532540,TATA CONSULTANCY SERVICES LTD.
36,Wed May 17 2023 00:00:00,3209.1,21459,532540,TATA CONSULTANCY SERVICES LTD.
37,Thu May 18 2023 00:00:00,3199.95,58500,532540,TATA CONSULTANCY SERVICES LTD.
38,Fri May 19 2023 00:00:00,3221.75,38600,532540,TATA CONSULTANCY SERVICES LTD.
39,Mon May 22 2023 00:00:00,3297.95,37822,532540,TATA CONSULTANCY SERVICES LTD.
40,Tue May 23 2023 00:00:00,3295.7,32867,532540,TATA CONSULTANCY SERVICES LTD.
41,Wed May 24 2023 00:00:00,3301.05,11292,532540,TATA CONSULTANCY SERVICES LTD.
42,Thu May 25 2023 00:00:00,3294.75,30397,532540,TATA CONSULTANCY SERVICES LTD.
43,Fri May 26 2023 00:00:00,3329.0,66787,532540,TATA CONSULTANCY SERVICES LTD.
44,Wed Apr 26 2023 00:00:00,1672.2,100304,500180,HDFC Bank Ltd
45,Thu Apr 27 2023 00:00:00,1681.05,203628,500180,HDFC Bank Ltd
46,Fri Apr 28 2023 00:00:00,1688.05,268231,500180,HDFC Bank Ltd
47,Tue May 02 2023 00:00:00,1686.5,134553,500180,HDFC Bank Ltd
48,Wed May 03 2023 00:00:00,1692.05,138307,500180,HDFC Bank Ltd
49,Thu May 04 2023 00:00:00,1727.2,517203,500180,HDFC Bank Ltd
50,Fri May 05 2023 00:00:00,1625.35,557873,500180,HDFC Bank Ltd
51,Mon May 08 2023 00:00:00,1645.25,201469,500180,HDFC Bank Ltd
52,Tue May 09 2023 00:00:00,1643.2,434207,500180,HDFC Bank Ltd
53,Wed May 10 2023 00:00:00,1652.0,76000,500180,HDFC Bank Ltd
54,Thu May 11 2023 00:00:00,1653.7,172580,500180,HDFC Bank Ltd
55,Fri May 12 2023 00:00:00,1667.6,277671,500180,HDFC Bank Ltd
56,Mon May 15 2023 00:00:00,1676.2,119331,500180,HDFC Bank Ltd
57,Tue May 16 2023 00:00:00,1646.75,166208,500180,HDFC Bank Ltd
58,Wed May 17 2023 00:00:00,1638.65,82489,500180,HDFC Bank Ltd
59,Thu May 18 2023 00:00:00,1645.35,147399,500180,HDFC Bank Ltd
60,Fri May 19 2023 00:00:00,1647.4,157281,500180,HDFC Bank Ltd
61,Mon May 22 2023 00:00:00,1640.55,152948,500180,HDFC Bank Ltd
62,Tue May 23 2023 00:00:00,1636.8,97923,500180,HDFC Bank Ltd
63,Wed May 24 2023 00:00:00,1615.65,130330,500180,HDFC Bank Ltd
64,Thu May 25 2023 00:00:00,1609.6,105911,500180,HDFC Bank Ltd
65,Fri May 26 2023 00:00:00,1615.5,148903,500180,HDFC Bank Ltd
66,Wed Apr 26 2023 00:00:00,914.85,127377,532174,ICICI BANK LTD.
67,Thu Apr 27 2023 00:00:00,918.5,116303,532174,ICICI BANK LTD.
68,Fri Apr 28 2023 00:00:00,917.7,217558,532174,ICICI BANK LTD.
69,Tue May 02 2023 00:00:00,921.7,285597,532174,ICICI BANK LTD.
70,Wed May 03 2023 00:00:00,923.05,282037,532174,ICICI BANK LTD.
71,Thu May 04 2023 00:00:00,921.25,439339,532174,ICICI BANK LTD.
72,Fri May 05 2023 00:00:00,926.95,192669,532174,ICICI BANK LTD.
73,Mon May 08 2023 00:00:00,938.2,453809,532174,ICICI BANK LTD.
74,Tue May 09 2023 00:00:00,934.45,232372,532174,ICICI BANK LTD.
75,Wed May 10 2023 00:00:00,936.2,215107,532174,ICICI BANK LTD.
76,Thu May 11 2023 00:00:00,939.4,275455,532174,ICICI BANK LTD.
77,Fri May 12 2023 00:00:00,943.75,224162,532174,ICICI BANK LTD.
78,Mon May 15 2023 00:00:00,944.1,166000,532174,ICICI BANK LTD.
79,Tue May 16 2023 00:00:00,946.65,149152,532174,ICICI BANK LTD.
80,Wed May 17 2023 00:00:00,939.4,425855,532174,ICICI BANK LTD.
81,Thu May 18 2023 00:00:00,946.05,361060,532174,ICICI BANK LTD.
82,Fri May 19 2023 00:00:00,954.6,113966,532174,ICICI BANK LTD.
83,Mon May 22 2023 00:00:00,950.5,248049,532174,ICICI BANK LTD.
84,Tue May 23 2023 00:00:00,952.8,386192,532174,ICICI BANK LTD.
85,Wed May 24 2023 00:00:00,940.4,106118,532174,ICICI BANK LTD.
86,Thu May 25 2023 00:00:00,939.8,88789,532174,ICICI BANK LTD.
87,Fri May 26 2023 00:00:00,950.55,88679,532174,ICICI BANK LTD.
88,Wed Apr 26 2023 00:00:00,2504.7,21320,500696,HINDUSTAN UNILEVER LTD.
89,Thu Apr 27 2023 00:00:00,2468.2,70290,500696,HINDUSTAN UNILEVER LTD.
