,Share Capital +,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,quarter(10yrs),ScripCode
647,523,7107,63576,2100,73307,741,16,19654,52896,73307,Mar 2013,532187
648,526,8517,75264,2719,87026,991,25,21563,64447,87026,Mar 2014,532187
649,529,10115,94752,6390,111787,1120,38,22878,87751,111787,Mar 2015,532187
650,595,17101,117996,7205,142897,1218,37,34054,107587,142897,Mar 2016,532187
651,598,20048,149026,8976,178648,1307,28,36702,140611,178648,Mar 2017,532187
652,600,23241,189928,7856,221626,1313,25,50077,170211,221626,Mar 2018,532187
653,603,26083,242189,8944,277819,1688,22,59266,216843,277819,Mar 2019,532187
654,694,34013,262793,9558,307058,1742,78,59980,245257,307058,Mar 2020,532187
655,773,42592,307528,12080,362973,1734,75,69695,291469,362973,Mar 2021,532187
656,775,46923,341005,13273,401975,1754,95,70971,329155,401975,Mar 2022,532187
657,,,,,,,,,,,Mar 2023,532187
658,412,28104,416214,12670,457400,2428,0,86697,368275,457400,Mar 2012,532134
659,423,32859,509192,16914,559387,2550,0,125617,431220,559387,Mar 2013,532134
660,431,37416,616973,21284,676104,2849,0,122113,551142,676104,Mar 2014,532134
661,444,41574,665483,26465,733966,2978,0,124739,606248,733966,Mar 2015,532134
662,462,42041,620536,28134,691173,6359,0,128894,555920,691173,Mar 2016,532134
663,462,42605,648499,27649,719216,5930,0,140716,572570,719216,Mar 2017,532134
664,530,46036,672311,28919,747796,5532,0,175137,567126,747796,Mar 2018,532134
665,530,54466,734456,30217,819670,7368,0,195716,616586,819670,Mar 2019,532134
666,925,75179,1068981,54850,1199935,9268,0,289727,900941,1199935,Mar 2020,532134
667,1036,81354,1067173,53104,1202667,8438,2,281859,912367,1202667,Mar 2021,532134
668,1036,90833,1185331,62922,1340121,11098,1,347587,981435,1340121,Mar 2022,532134
669,,,,,,,,,,,Mar 2023,532134
670,174,1543,1068,1415,4200,1641,27,483,2050,4200,Mar 2012,500096
671,174,1921,1151,1462,4709,1582,93,929,2105,4709,Mar 2013,500096
672,174,2482,708,1948,5312,1767,22,1076,2447,5312,Mar 2014,500096
673,176,3178,734,2019,6106,1877,50,1813,2365,6106,Mar 2015,500096
674,176,3995,805,1956,6932,1667,45,2691,2529,6932,Mar 2016,500096
675,176,4671,975,1910,7732,1958,42,3240,2492,7732,Mar 2017,500096
676,176,5530,938,2058,8702,2028,42,3805,2827,8702,Mar 2018,500096
677,177,5455,699,2106,8437,1969,64,3359,3045,8437,Mar 2019,500096
678,177,6429,522,2209,9337,2253,147,2800,4137,9337,Mar 2020,500096
679,177,7487,509,2661,10833,2243,147,4160,4283,10833,Mar 2021,500096
680,177,8205,1030,2872,12284,2308,168,6220,3589,12284,Mar 2022,500096
681,177,8796,1174,3507,13654,3579,175,6265,3635,13654,Mar 2023,500096
682,191,31179,41016,29016,101402,35300,22798,10551,32753,101402,Mar 2012,500440
683,191,34597,56951,28850,120590,37929,33834,12601,36226,120590,Mar 2013,500440
684,206,40398,64756,32621,137982,61163,23059,12961,40798,137982,Mar 2014,500440
685,207,38122,68468,34950,141746,71959,14111,12346,43330,141746,Mar 2015,500440
686,205,40402,67552,32986,141146,85648,4214,12463,38821,141146,Mar 2016,500440
687,223,45836,63817,36268,146144,84687,1814,15157,44486,146144,Mar 2017,500440
688,223,54629,52074,40088,147014,85088,2063,10781,49081,147014,Mar 2018,500440
689,222,57279,52415,42056,151972,85860,4097,9012,53003,151972,Mar 2019,500440
690,222,58095,68399,41902,168618,89195,7721,9411,62291,168618,Mar 2020,500440
691,222,66311,67206,55083,188822,100269,10202,17133,61218,188822,Mar 2021,500440
692,222,77969,64486,79178,221855,106874,4945,14119,95917,221855,Mar 2022,500440
693,222,94584,65926,64085,224817,110986,7340,14116,92375,224817,Mar 2023,500440
694,27,2105,55,570,2757,738,182,477,1359,2757,Mar 2012,532488
695,27,2474,33,605,3139,909,303,408,1519,3139,Mar 2013,532488
696,27,2937,18,729,3710,1222,144,502,1842,3710,Mar 2014,532488
697,27,3469,27,883,4405,1309,218,733,2145,4405,Mar 2015,532488
698,53,4240,42,562,4898,1439,264,803,2392,4898,Mar 2016,532488
699,53,5304,36,762,6155,1559,444,1631,2521,6155,Mar 2017,532488
700,53,5872,63,797,6785,1996,120,1889,2780,6785,Mar 2018,532488
701,53,6904,106,973,8036,2088,492,1946,3511,8036,Mar 2019,532488
702,53,7257,39,1183,8531,2782,920,971,3858,8531,Mar 2020,532488
703,53,9242,5,1471,10771,3704,711,0,6356,10771,Mar 2021,532488
704,53,11675,4,1628,13360,4325,470,72,8493,13360,Mar 2022,532488
705,53,12714,3,1668,14439,4723,212,77,9427,14439,Mar 2023,532488
706,34,348,1016,2419,3814,886,0,523,2404,3814,Mar 2012,539448
707,34,498,1800,3682,6011,1764,7,1138,3101,6011,Mar 2013,539448
708,34,373,3346,5351,9102,3956,0,1272,3874,9102,Mar 2014,539448
709,34,386,3926,6446,10789,4876,0,517,5396,10789,Mar 2015,539448
710,360,2363,3245,6662,12630,4747,32,986,6864,12630,Mar 2016,539448
711,361,3418,2596,8834,15210,3794,25,3713,7677,15210,Mar 2017,539448
712,384,6693,2453,11599,21129,4579,32,6344,10174,21129,Mar 2018,539448
713,384,6560,2429,15638,25012,5662,24,6517,12809,25012,Mar 2019,539448
714,385,5478,22719,13467,42048,16778,140,9499,15631,42048,Mar 2020,539448
715,385,-314,29860,13044,42974,18815,72,7290,16797,42974,Mar 2021,539448
716,385,-6421,36878,15018,45860,21282,125,8033,16420,45860,Mar 2022,539448
717,386,-6689,44854,20492,59043,27671,0,11514,19858,59043,Mar 2023,539448
718,110,759,1345,442,2803,897,102,180,1624,2803,Mar 2018,542066
719,110,992,394,552,2048,980,190,176,701,2048,Mar 2019,542066
720,110,1361,428,577,2476,1198,342,282,655,2476,Mar 2020,542066
721,110,1824,529,741,3204,1379,696,417,711,3204,Mar 2021,542066
722,110,2306,1035,964,4415,1733,1171,634,878,4415,Mar 2022,542066
723,110,2831,1422,1282,5645,2337,1616,682,1010,5645,Mar 2023,542066
724,35,2699,2164,986,5884,1521,97,2535,1731,5884,Jun 2012,500387
725,35,3809,1288,1028,6160,1782,133,2203,2042,6160,Jun 2013,500387
726,35,4676,1200,1418,7329,2194,758,2244,2132,7329,Jun 2014,500387
727,35,5242,917,1805,7998,3004,511,1663,2820,7998,Jun 2015,500387
728,35,6811,881,1737,9463,3050,264,3030,3118,9463,Mar 2016,500387
729,35,7663,1293,2175,11166,2599,710,4043,3814,11166,Mar 2017,500387
730,35,8862,3403,2842,15142,3589,1427,5434,4691,15142,Mar 2018,500387
731,35,9563,2798,2798,15193,4476,1121,4444,5153,15193,Mar 2019,500387
732,36,12900,3144,3257,19338,4319,962,8915,5141,19338,Mar 2020,500387
733,36,15214,2156,3633,21039,4192,971,11051,4826,21039,Mar 2021,500387
734,36,17235,2209,3935,23415,5321,973,11546,5575,23415,Mar 2022,500387
735,36,18252,2811,4719,25819,5333,2320,11651,6515,25819,Mar 2023,500387
736,133,1271,11444,649,13497,56,0,10,13430,13497,Mar 2012,511243
737,143,1809,15269,1007,18228,73,0,172,17984,18228,Mar 2013,511243
738,143,2144,18075,1182,21544,74,0,39,21431,21544,Mar 2014,511243
739,644,2531,19450,1743,23868,69,0,25,23775,23868,Mar 2015,511243
740,156,3514,22546,1673,27889,120,0,16,27753,27889,Mar 2016,511243
741,156,4142,24071,2230,30598,150,0,182,30266,30598,Mar 2017,511243
742,156,4969,38330,711,44167,170,4,23,43970,44167,Mar 2018,511243
743,156,6052,50567,715,57490,167,14,42,57267,57490,Mar 2019,511243
744,164,8036,55005,853,64058,283,11,33,63732,64058,Mar 2020,511243
745,164,9436,63730,1314,74644,228,10,1583,72823,74644,Mar 2021,511243
746,164,11605,69174,1536,82478,259,37,2055,80127,82478,Mar 2022,511243
747,164,14182,97358,1923,113627,427,36,3562,109602,113627,Mar 2023,511243
748,785,-332,2803,231,3488,1,0,0,3487,3488,Mar 2013,543066
749,785,-39,3498,491,4735,1,0,0,4734,4735,Mar 2014,543066
750,785,181,4699,593,6257,2,0,0,6256,6257,Mar 2015,543066
751,785,370,5928,797,7880,2,0,0,7878,7880,Mar 2016,543066
752,785,664,8268,1048,10765,24,0,0,10741,10765,Mar 2017,543066
753,785,1568,11413,1920,15686,242,35,0,15409,15686,Mar 2018,543066
754,837,2751,13549,3009,20146,196,20,1,19928,20146,Mar 2019,543066
755,939,4402,17573,2393,25307,311,24,1,24971,25307,Mar 2020,543066
756,941,5362,17895,2816,27013,308,10,958,25737,27013,Mar 2021,543066
757,943,6810,22982,3913,34648,439,14,1297,32898,34648,Mar 2022,543066
758,946,8884,31110,4606,45546,568,6,2140,42832,45546,Mar 2023,543066
759,307,7758,69,3443,11576,6266,488,806,4017,11576,Dec 2011,500425
760,308,8489,60,3487,12345,5951,524,1581,4289,12345,Dec 2012,500425
761,309,9153,48,3446,12956,6147,698,1714,4399,12956,Dec 2013,500425
762,310,9760,34,3774,13878,6310,692,2097,4780,13878,Dec 2014,500425
763,310,9961,35,3827,14133,6170,416,2149,5398,14133,Dec 2015,500425
764,397,19424,29,12974,32824,21410,582,175,10657,32824,Dec 2016,500425
765,397,20275,24,14813,35509,20898,667,153,13791,35509,Dec 2017,500425
766,397,21973,40,14981,37391,20636,1008,133,15613,37391,Dec 2018,500425
767,397,23681,41,16059,40178,20701,1554,150,17773,40178,Dec 2019,500425
768,397,22360,471,16490,39718,20486,2422,167,16643,39718,Dec 2020,500425
769,397,24957,477,19374,45204,22254,2196,198,20556,45204,Dec 2021,500425
770,397,25130,475,19026,45028,22618,2774,206,19430,45028,Jun 2022,500425
771,42,2492,0,3760,6295,1168,74,51,5001,6295,Dec 2011,500002
772,42,2556,328,3544,6470,1207,117,52,5093,6470,Dec 2012,500002
773,42,2635,620,3752,7050,1392,47,17,5594,7050,Dec 2013,500002
774,42,2770,371,3639,6822,1400,32,16,5374,6822,Dec 2014,500002
775,42,2966,600,3800,7409,1298,44,16,6050,7409,Dec 2015,500002
776,42,3244,600,3844,7731,1255,68,16,6392,7731,Dec 2016,500002
777,42,3565,608,4673,8888,1219,116,271,7282,8888,Dec 2017,500002
778,42,3965,7,5063,9077,893,83,0,8101,9077,Dec 2018,500002
779,42,3478,14,4167,7701,742,59,0,6900,7701,Dec 2019,500002
780,42,3564,58,3926,7590,783,75,0,6733,7590,Dec 2020,500002
781,42,4003,37,3991,8073,817,77,0,7179,8073,Dec 2021,500002
782,42,4897,33,4346,9318,899,69,493,7857,9318,Dec 2022,500002
783,62,893,1027,2193,4175,1391,66,0,2718,4175,Mar 2012,517354
784,62,1380,982,2034,4458,1500,25,0,2933,4458,Mar 2013,517354
785,62,1604,1054,2613,5332,1600,44,0,3688,5332,Mar 2014,517354
786,62,1756,424,2546,4788,1541,38,0,3209,4788,Mar 2015,517354
787,62,2965,134,1225,4387,1224,20,189,2954,4387,Mar 2016,517354
788,62,3214,208,1683,5168,1300,12,162,3694,5168,Mar 2017,517354
789,63,3667,115,2763,6608,2819,24,0,3765,6608,Mar 2018,517354
790,63,4135,94,2856,7148,2904,233,0,4012,7148,Mar 2019,517354
791,63,4249,72,2690,7073,3350,86,0,3638,7073,Mar 2020,517354
792,63,5114,521,3155,8852,3290,90,306,5166,8852,Mar 2021,517354
793,63,5940,438,4083,10523,3434,57,426,6606,10523,Mar 2022,517354
794,63,6563,223,4309,11157,3624,163,201,7170,11157,Mar 2023,517354
795,80,5822,1,9138,15041,530,147,0,14364,15041,Mar 2012,500049
796,80,6407,1,8367,14855,600,328,0,13926,14855,Mar 2013,500049
797,80,7140,0,7760,14980,695,458,0,13828,14980,Mar 2014,500049
798,80,8037,25,7587,15729,1073,140,0,14516,15729,Mar 2015,500049
799,240,9006,28,9330,18605,1232,430,462,16481,18605,Mar 2016,500049
800,223,7512,64,9800,17600,1501,743,491,14865,17600,Mar 2017,500049
801,244,7772,80,10868,18965,1839,940,937,15248,18965,Mar 2018,500049
802,244,8968,34,11575,20821,2298,849,964,16710,20821,Mar 2019,500049
803,244,9828,8,14271,24351,2713,828,1110,19700,24351,Mar 2020,500049
804,244,10816,3,18430,29492,2652,883,1306,24651,29492,Mar 2021,500049
805,244,12042,53,21574,33912,2675,1006,1572,28659,33912,Mar 2022,500049
806,731,13131,0,21630,35491,3457,361,201,31473,35491,Mar 2023,500049
807,362,15518,30153,31781,77814,24988,4534,7891,40401,77814,Mar 2012,500547
808,723,16052,33157,29696,79628,24721,7463,7470,39974,79628,Mar 2013,500547
809,723,18703,33152,35882,88460,27580,9372,6985,44523,88460,Mar 2014,500547
810,723,21825,25492,38281,86322,29109,15787,7712,33714,86322,Mar 2015,500547
811,656,27138,23388,35241,86422,25358,17459,9401,34203,86422,Mar 2016,500547
812,1311,29508,35725,42541,109086,33684,16834,21327,37241,109086,Mar 2017,500547
813,1967,34652,37659,46078,120356,45539,9875,23725,41217,120356,Mar 2018,500547
814,1967,36798,44839,53322,136926,49315,13654,24907,49050,136926,Mar 2019,500547
815,1967,34565,65476,48852,150860,60175,17757,27029,45900,150860,Mar 2020,500547
816,2093,51462,54532,52891,160978,64098,17037,26768,53075,160978,Mar 2021,500547
817,2129,49776,64534,71089,187529,83901,15433,23616,64578,187529,Mar 2022,500547
818,2129,51393,69376,65210,188109,97279,5645,26778,58406,188109,Mar 2023,500547
819,111,8569,0,455,9135,384,160,7706,885,9135,Mar 2012,500490
820,111,10234,0,430,10775,532,0,9577,666,10775,Mar 2013,500490
821,111,11888,0,449,12448,532,0,11325,592,12448,Mar 2014,500490
822,111,13282,0,500,13893,544,0,13078,271,13893,Mar 2015,500490
823,111,15182,0,178,15472,544,0,13276,1651,15472,Mar 2016,500490
824,111,17707,0,71,17889,222,0,17364,302,17889,Mar 2017,500490
825,111,25090,0,68,25269,215,0,24575,478,25269,Mar 2018,500490
826,111,26841,0,56,27008,193,0,26257,558,27008,Mar 2019,500490
827,111,27652,168,4797,32729,374,0,32068,287,32729,Mar 2020,500490
828,111,37056,136,8186,45490,342,0,44914,234,45490,Mar 2021,500490
829,111,42731,114,10632,53588,310,0,52964,314,53588,Mar 2022,500490
830,111,44071,93,8913,53188,278,0,52555,355,53188,Mar 2023,500490
831,161,7478,29,1682,9350,3215,371,1269,4494,9350,Mar 2012,500087
832,161,8858,967,1672,11658,3610,378,2532,5138,11658,Mar 2013,500087
833,161,9890,1248,2102,13400,6496,442,709,5753,13400,Mar 2014,500087
834,161,10641,1703,3166,15670,6830,581,640,7620,15670,Mar 2015,500087
835,161,11356,5202,4331,21049,9368,2061,759,8862,21049,Mar 2016,500087
836,161,12383,4113,4213,20869,9492,1683,973,8721,20869,Mar 2017,500087
837,161,14068,4098,4346,22673,9950,981,1259,10483,22673,Mar 2018,500087
838,161,14851,4316,4433,23762,9608,676,2554,10923,23762,Mar 2019,500087
839,161,15602,2816,4843,23423,9683,825,1471,11444,23423,Mar 2020,500087
840,161,18165,2014,4514,24855,9516,969,2710,11661,24855,Mar 2021,500087
841,161,20680,1056,4960,26857,9683,766,2551,13857,26857,Mar 2022,500087
842,161,23246,803,5252,29463,9565,689,3662,15547,29463,Mar 2023,500087
843,85,4904,3234,3082,11305,3412,708,208,6977,11305,Mar 2012,500124
844,85,6284,3682,3329,13380,4051,565,197,8567,13380,Mar 2013,500124
845,85,7780,4477,3563,15906,4641,639,1067,9559,15906,Mar 2014,500124
846,85,9768,4314,4290,18457,5377,529,2248,10303,18457,Mar 2015,500124
847,85,12484,3352,4408,20330,6563,772,3833,9162,20330,Mar 2016,500124
848,83,12179,4918,4474,21654,6931,3324,2110,9290,21654,Mar 2017,500124
849,83,12489,5071,4706,22349,6968,3470,2298,9612,22349,Mar 2018,500124
850,83,13941,3838,4557,22418,7191,2934,2587,9707,22418,Mar 2019,500124
851,83,15516,2210,5414,23223,6850,1535,2678,12160,23223,Mar 2020,500124
852,83,17558,3031,5915,26588,8206,1565,2212,14605,26588,Mar 2021,500124
853,83,19129,3384,7149,29746,8122,1293,2616,17715,29746,Mar 2022,500124
854,83,23203,1347,7652,32285,9274,975,4986,17050,32285,Mar 2023,500124
855,58,1793,1228,888,3968,2078,417,141,1332,3968,Mar 2012,503806
856,58,1910,1704,902,4575,2340,565,151,1518,4575,Mar 2013,503806
857,58,2008,2175,1227,5469,3551,112,37,1769,5469,Mar 2014,503806
858,58,2238,2435,1152,5883,3922,104,94,1762,5883,Mar 2015,503806
859,58,2705,2515,1146,6424,4113,117,165,2029,6424,Mar 2016,503806
860,58,3124,2396,1389,6968,4405,259,196,2109,6968,Mar 2017,503806
861,58,3506,3142,1657,8363,5122,559,122,2561,8363,Mar 2018,503806
862,58,4071,3730,2028,9888,5609,754,101,3424,9888,Mar 2019,503806
863,58,4875,4135,1795,10862,6368,1393,203,2899,10862,Mar 2020,503806
864,60,6796,3469,2586,12911,7827,772,417,3895,12911,Mar 2021,503806
865,297,8268,3655,3544,15765,8425,1672,321,5347,15765,Mar 2022,503806
866,297,10030,4478,3950,18755,10050,2406,494,5805,18755,Mar 2023,503806
867,62,4504,916,2797,8279,4244,49,567,3420,8279,Mar 2012,500800
868,62,4748,1389,2595,8794,4434,91,578,3691,8794,Mar 2013,500800
869,62,5787,1438,2625,9911,5181,60,611,4060,9911,Mar 2014,500800
870,62,5431,1324,2641,9458,4922,47,622,3867,9458,Mar 2015,500800
871,63,6184,1354,2294,9895,4662,39,1366,3828,9895,Mar 2016,500800
872,63,6202,787,2499,9551,4573,63,1451,3465,9551,Mar 2017,500800
873,63,6968,1068,2362,10461,4798,135,1161,4366,10461,Mar 2018,500800
874,63,7269,1141,2408,10881,4913,424,1188,4355,10881,Mar 2019,500800
875,92,13723,1586,3072,18473,11656,95,1323,5399,18473,Mar 2020,500800
876,92,14442,1634,4050,20218,12023,113,806,7276,20218,Mar 2021,500800
877,92,15050,1412,4521,21075,12599,247,797,7431,21075,Mar 2022,500800
878,93,16184,1600,4886,22762,13070,295,1433,7965,22762,Mar 2023,500800
879,1268,23646,11506,11479,47899,19863,14705,1183,12148,47899,Mar 2012,532155
880,1268,27526,16472,14542,59809,24303,18376,1254,15876,59809,Mar 2013,532155
881,1268,31188,18537,15872,66865,25995,18490,1282,21099,66865,Mar 2014,532155
882,1268,32754,18291,17355,69669,32143,13806,1272,22448,69669,Mar 2015,532155
883,1268,35135,9052,13608,59063,29946,3688,9844,15584,59063,Mar 2016,532155
884,1691,37614,6553,12433,58291,28302,4126,10125,15737,58291,Mar 2017,532155
885,2255,39424,3876,15798,61353,28860,5938,10452,16102,61353,Mar 2018,532155
886,2255,43749,2224,20199,68426,31475,9738,10722,16493,68426,Mar 2019,532155
887,4510,44758,6912,18754,74934,37121,11666,9893,16253,74934,Mar 2020,532155
888,4440,48742,7873,19975,81030,40188,13400,13058,14385,81030,Mar 2021,532155
889,4440,59674,9216,23254,96584,43718,15490,16408,20968,96584,Mar 2022,532155
890,6575,58352,17816,25037,107781,49697,16646,17248,24189,107781,Mar 2023,532155
891,61,1082,785,689,2617,857,40,296,1424,2617,Mar 2012,531642
892,64,1917,872,854,3707,1670,148,152,1738,3707,Mar 2013,531642
893,64,1296,680,925,2965,888,4,311,1762,2965,Mar 2014,531642
894,64,1760,428,873,3125,1076,3,284,1763,3125,Mar 2015,531642
895,129,1888,331,1010,3358,1050,37,544,1727,3358,Mar 2016,531642
896,129,2197,239,1059,3623,1085,11,608,1919,3623,Mar 2017,531642
897,129,2414,312,1217,4072,1110,27,543,2392,4072,Mar 2018,531642
898,129,2846,352,1569,4896,1300,45,450,3101,4896,Mar 2019,531642
899,129,2894,338,1603,4964,1396,58,733,2777,4964,Mar 2020,531642
900,129,3111,511,1675,5426,1612,24,854,2936,5426,Mar 2021,531642
901,129,3219,479,1850,5677,1760,39,828,3050,5677,Mar 2022,531642
902,129,3670,608,2539,6946,2246,67,1096,3537,6946,Mar 2023,531642
903,237,12437,33860,15070,61604,27653,12659,3423,17868,61604,Mar 2012,500400
904,237,12098,37882,17038,67257,41353,2358,3120,20426,67257,Mar 2013,500400
905,237,12164,40173,18810,71383,43394,3389,3019,21582,71383,Mar 2014,500400
906,270,14048,40607,20260,75185,44726,3323,3445,23692,75185,Mar 2015,500400
907,270,11363,38849,19575,70057,36414,1345,11785,20513,70057,Mar 2016,500400
908,270,12944,48815,20799,82829,46595,2178,11873,22184,82829,Mar 2017,500400
909,516,16129,48344,17148,81892,44656,1653,12429,23154,81892,Mar 2018,500400
910,270,18035,48506,17262,84073,44305,2576,13542,23651,84073,Mar 2019,500400
911,270,19296,51936,18172,89674,47666,1612,14535,25861,89674,Mar 2020,500400
912,320,22003,46708,29625,98655,52179,3270,13149,30056,98655,Mar 2021,500400
913,320,22122,51195,38913,112550,57389,4635,14160,36365,112550,Mar 2022,500400
914,320,28468,52923,46639,128349,61747,5376,16670,44556,128349,Mar 2023,500400
915,62,1768,957,815,3602,1530,361,502,1210,3602,Mar 2011,508869
916,67,2401,817,698,3983,2011,209,564,1198,3983,Mar 2012,508869
917,70,2677,1213,854,4814,2341,403,527,1543,4814,Mar 2013,508869
918,70,2907,1344,1029,5350,2681,491,322,1855,5350,Mar 2014,508869
919,70,3102,1992,1296,6459,3244,533,311,2372,6459,Mar 2015,508869
920,70,3262,2834,1195,7360,3997,562,352,2448,7360,Mar 2016,508869
921,70,3244,3125,1665,8103,4591,347,406,2759,8103,Mar 2017,508869
922,70,3182,3427,1917,8596,4773,712,352,2759,8596,Mar 2018,508869
923,70,3264,3673,2159,9166,4982,822,462,2901,9166,Mar 2019,508869
924,70,3270,3596,4354,11289,7432,236,434,3187,11289,Mar 2020,508869
925,72,4531,4160,2629,11392,6778,234,1343,3037,11392,Mar 2021,508869
926,72,5551,4068,3493,13184,8269,46,780,4090,13184,Mar 2022,508869
927,72,5921,3998,3984,13975,8256,548,631,4540,13975,Sep 2022,508869
928,1429,1553,0,68642,71623,176,4,70398,1045,71623,Mar 2012,540133
929,1429,2532,0,71260,75220,165,7,73716,1332,75220,Mar 2013,540133
930,1429,2954,0,77090,81474,197,5,80101,1171,81474,Mar 2014,540133
931,1432,3833,0,95951,101215,209,6,99491,1509,101215,Mar 2015,540133
932,1432,3891,1029,98413,104765,212,7,103024,1522,104765,Mar 2016,540133
933,1435,4971,0,118335,124741,207,7,121581,2946,124741,Mar 2017,540133
934,1436,5138,0,135245,141819,404,18,138537,2859,141819,Mar 2018,540133
935,1436,5435,0,156215,163086,463,13,159003,3607,163086,Mar 2019,540133
936,1436,5524,0,149071,156031,932,20,150776,4303,156031,Mar 2020,540133
937,1436,10667,1200,203917,217220,436,22,212202,4560,217220,Mar 2021,540133
938,1437,10548,1200,231252,244437,433,54,238101,5848,244437,Mar 2022,540133
939,1439,8651,1200,244562,255851,596,0,248216,7039,255851,Mar 2023,540133
940,69,722,418,578,1788,509,73,4,1202,1788,Mar 2012,509480
941,69,884,550,683,2186,599,172,11,1404,2186,Mar 2013,509480
942,69,1051,624,851,2595,864,133,91,1507,2595,Mar 2014,509480
943,69,1191,610,846,2716,931,100,134,1550,2716,Mar 2015,509480
944,69,1493,354,960,2877,963,51,348,1515,2877,Mar 2016,509480
945,97,1804,406,1132,3440,1136,62,472,1769,3440,Mar 2017,509480
946,97,2097,422,1326,3943,1267,97,333,2245,3943,Mar 2018,509480
947,97,2347,753,1360,4557,1583,170,395,2409,4557,Mar 2019,509480
948,97,2563,767,1472,4900,1916,178,315,2490,4900,Mar 2020,509480
949,97,3280,634,1907,5918,2044,107,356,3411,5918,Mar 2021,509480
950,97,3830,1014,2271,7211,2187,606,234,4185,7211,Mar 2022,509480
951,97,4397,1189,2284,7967,3332,110,183,4342,7967,Mar 2023,509480
952,126,4536,8164,3031,15857,7881,108,236,7632,15857,Mar 2012,532432
953,126,4661,8242,3453,16483,7869,131,218,8265,16483,Mar 2013,532432
954,145,2887,8307,3518,14858,5700,110,238,8810,14858,Mar 2014,532432
955,145,514,4987,2242,7889,1921,114,216,5637,7889,Mar 2015,532432
956,145,1489,4242,2452,8329,1887,282,77,6084,8329,Mar 2016,532432
957,145,1640,4144,2967,8896,1917,199,0,6780,8896,Mar 2017,532432
958,145,2274,3421,3086,8926,1791,102,0,7033,8926,Mar 2018,532432
959,145,2945,2883,3135,9109,1841,118,25,7124,9109,Mar 2019,532432
960,145,3583,2570,2546,8844,1956,121,22,6745,8844,Mar 2020,532432
961,145,3974,1037,3354,8511,1893,97,0,6521,8511,Mar 2021,532432
962,145,4808,605,3304,8863,1855,96,222,6690,8863,Mar 2022,532432
963,146,5854,183,3579,9762,1550,67,286,7859,9762,Mar 2023,532432
964,48,675,1304,1290,3317,1472,186,318,1340,3317,Mar 2012,532343
965,48,851,1068,1415,3381,1593,36,348,1404,3381,Mar 2013,532343
966,48,1113,728,1743,3632,1517,48,439,1628,3632,Mar 2014,532343
967,48,1277,1119,2126,4570,1637,93,539,2301,4570,Mar 2015,532343
968,48,1771,1091,2236,5146,2038,47,943,2118,5146,Mar 2016,532343
969,48,2169,1311,2601,6128,2362,64,1155,2547,6128,Mar 2017,532343
970,48,2630,6928,3586,13190,3094,313,421,9362,13190,Mar 2018,532343
971,48,3123,9298,4228,16696,3367,745,440,12145,16696,Mar 2019,532343
972,48,3235,11591,4399,19272,3811,1006,371,14085,19272,Mar 2020,532343
973,48,3779,12179,5859,21865,4221,1041,468,16135,21865,Mar 2021,532343
974,48,4352,15827,6638,26865,5975,552,605,19734,26865,Mar 2022,532343
975,48,5457,13312,16416,35233,6176,316,967,27774,35233,Mar 2023,532343
976,109,666,1948,2521,5244,1377,43,136,3688,5244,Mar 2014,543458
977,114,1166,2622,3465,7367,1950,70,52,5294,7367,Mar 2017,543458
978,114,1540,2244,5750,9649,2273,443,53,6880,9649,Mar 2018,543458
979,114,1905,1829,7541,11390,2954,570,54,7812,11390,Mar 2019,543458
980,114,2298,2300,6914,11627,3759,325,55,7488,11627,Mar 2020,543458
981,114,2952,3051,6958,13076,3702,531,106,8736,13076,Mar 2021,543458
982,130,7248,2626,10247,20251,4146,363,286,15456,20251,Mar 2022,543458
983,130,7858,2259,9372,19619,4377,323,288,14631,19619,Mar 2023,543458
984,1278,18113,263722,7063,290176,3017,26,82829,204304,290176,Mar 2012,500116
985,1333,19869,292699,8765,322666,2928,18,98433,221288,322666,Mar 2013,500116
986,1604,22028,295719,9599,328950,2978,22,103419,222531,328950,Mar 2014,500116
987,1604,22771,321355,10314,356044,3026,54,97347,255617,356044,Mar 2015,500116
988,2059,26000,335679,11537,375275,7041,481,92810,274943,375275,Mar 2016,500116
989,2059,21204,324580,14646,362488,6893,541,93075,261980,362488,Mar 2017,500116
990,3084,18824,310962,18039,350909,6350,502,91848,252208,350909,Mar 2018,500116
991,7736,30610,272478,10287,321111,7842,468,93328,219474,321111,Mar 2019,500116
992,10381,24455,258963,6901,300699,7719,488,81996,210496,300699,Mar 2020,500116
993,10752,26876,246568,14457,298653,7402,471,81471,209309,298653,Mar 2021,500116
994,10752,31819,247195,12590,302356,9587,400,83475,208894,302356,Mar 2022,500116
995,,,,,,,,,,,Mar 2023,500116
996,42,980,572,941,2536,636,180,146,1574,2536,Mar 2011,500420
997,42,1152,579,1275,3048,797,119,124,2008,3048,Mar 2012,500420
998,42,1380,693,1638,3753,820,285,60,2587,3753,Mar 2013,500420
999,85,1818,1132,1988,5022,875,534,186,3427,5022,Mar 2014,500420
1000,85,2406,2740,2589,7820,2833,678,298,4011,7820,Mar 2015,500420
1001,85,3409,2352,3040,8886,2859,1042,780,4206,8886,Mar 2016,500420
1002,85,4266,2510,2740,9601,3688,519,804,4589,9601,Mar 2017,500420
1003,85,4538,6462,3159,14243,7855,647,492,5249,14243,Mar 2018,500420
