,peers_ScripCode,ResQtr,peers_Name,LTP,Change,w52hi,w52hidt,w52lo,w52lodt,Revenue,PAT,Equity,OPM,NPM,RONW,EPS,Cash_EPS,PE,PB,BV,Results_QuarterName,SHP_QuarterName,PnPGrp,INDIAN,Foreign,Public,Institution,FII,DII,NonIns,Bodies_Corporate,FACE_VALUE,ScripCode
19,500209,117.0,INFY,1317.3,0.98,1672.45,2022-12-01T00:00:00,1215.45,2023-04-25T00:00:00,30531.0,5904.0,2074.0,28.54,19.34,284.67,56.09,62.72,23.49,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,500209
20,532540,117.0,TCS,3329.0,1.04,3575.0,2023-02-16T00:00:00,2926.0,2022-09-26T00:00:00,49780.0,9800.0,366.0,28.73,19.69,2677.6,106.87,117.64,31.15,0.0,0.0,Mar - 23,,2645386073.0,2645386073.0,0.0,1013665300.0,348806373.0,0.0,348806373.0,664858927.0,0.0,1.0,500209
21,507685,117.0,WIPRO,401.5,1.85,488.0,2022-06-03T00:00:00,351.85,2023-04-17T00:00:00,17477.3,2264.1,1097.6,21.17,12.95,206.28,16.72,19.62,24.01,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500209
22,532281,117.0,HCLTECH,1138.6,2.02,1156.8,2023-02-03T00:00:00,875.65,2022-08-29T00:00:00,11637.0,2844.0,0.0,36.02,24.44,0.0,42.23,51.19,26.96,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500209
23,500875,117.0,ITC,443.7,0.59,444.75,2023-05-26T14:34:41,258.05,2022-06-17T00:00:00,17506.08,5086.86,1242.8,40.15,29.06,409.31,15.09,16.43,29.4,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500875
24,500696,117.0,HINDUNILVR,2651.6,2.0,2741.0,2022-12-09T00:00:00,2100.0,2022-06-17T00:00:00,14893.0,2552.0,235.0,24.92,17.14,1085.96,42.4,46.78,62.54,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500875
25,519126,117.0,HNDFDS,565.2,-0.04,749.15,2022-12-05T00:00:00,328.73,2022-06-21T00:00:00,594.86,16.32,22.55,6.69,2.74,72.39,5.72,8.32,98.81,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500875
26,500112,117.0,SBIN,585.85,0.78,629.65,2022-12-15T00:00:00,430.8,2022-06-20T00:00:00,92951.06,16694.51,892.46,26.49,17.96,1870.62,56.29,56.29,10.41,0.0,0.0,Mar - 23,Mar - 23,5079775288.0,5079775288.0,0.0,3755675696.0,2225765173.0,0.0,2225765173.0,1529910523.0,0.0,1.0,500112
27,532134,117.0,BANKBARODA,183.5,0.94,197.2,2022-12-09T00:00:00,89.9,2022-06-20T00:00:00,25856.68,4775.33,1035.53,31.22,18.47,461.15,27.28,27.28,6.73,0.0,0.0,Mar - 23,Mar - 23,3308184689.0,3308184689.0,0.0,1863177490.0,859281523.0,0.0,859281523.0,1003895967.0,0.0,2.0,500112
28,532483,117.0,CANBK,306.7,2.37,341.6,2023-01-03T00:00:00,171.7,2022-06-20T00:00:00,23909.8,3174.74,1814.13,30.33,13.28,175.0,58.45,58.45,5.25,0.0,0.0,Mar - 23,,1141709678.0,1141709678.0,0.0,672420574.0,288782812.0,0.0,288782812.0,383637762.0,0.0,10.0,500112
29,532461,117.0,PNB,50.36,1.41,62.05,2022-12-15T00:00:00,28.05,2022-06-20T00:00:00,23848.61,1158.61,2202.2,24.6,4.86,52.61,2.28,2.28,22.09,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500112
30,500010,100.0,HDFC,2650.15,0.02,2867.0,2023-05-04T00:00:00,2026.55,2022-06-17T00:00:00,10555.18,2113.8,343.89,96.08,20.03,614.67,55.93,56.24,47.38,0.0,0.0,Dec - 18,Mar - 23,0.0,0.0,0.0,1834555988.0,410101003.0,0.0,410101003.0,1424454985.0,0.0,2.0,500010
31,500253,101.0,LICHSGFIN,377.3,0.55,443.5,2022-09-15T00:00:00,291.75,2022-06-20T00:00:00,4655.14,693.58,100.93,94.25,14.9,687.19,48.17,48.4,7.83,0.0,0.0,Mar - 19,,,,,,,,,,,2.0,500010
32,535789,100.0,IBULHSGFIN,113.5,1.61,158.6,2022-12-30T00:00:00,89.0,2022-07-06T00:00:00,3819.81,952.66,85.47,95.07,24.94,1114.61,89.06,89.85,1.27,0.0,0.0,Dec - 18,,,,,,,,,,,2.0,500010
33,540173,100.0,PNBHOUSING,474.05,3.07,541.72,2023-03-09T00:00:00,260.82,2022-05-26T00:00:00,1999.5,266.95,167.47,89.93,13.35,159.4,55.58,57.32,8.53,0.0,0.0,Dec - 18,,,,,,,,,,,10.0,500010
34,532454,117.0,BHARTIARTL,817.85,-0.63,877.1,2022-11-25T00:00:00,629.05,2022-07-14T00:00:00,21829.0,1354.2,2836.6,53.12,6.2,1.71,-0.86,43.51,-950.99,5.34,139.24,Mar - 23,,,,,,,,,,,5.0,532454
