,date,value,vol,ScripCode,CompanyName
0,Mon Feb 27 2023 00:00:00,2369.1,247454,500325,RELIANCE INDUSTRIES LTD.
1,Tue Feb 28 2023 00:00:00,2321.95,300235,500325,RELIANCE INDUSTRIES LTD.
2,Wed Mar 01 2023 00:00:00,2343.25,183724,500325,RELIANCE INDUSTRIES LTD.
3,Thu Mar 02 2023 00:00:00,2327.85,89972,500325,RELIANCE INDUSTRIES LTD.
4,Fri Mar 03 2023 00:00:00,2385.05,266949,500325,RELIANCE INDUSTRIES LTD.
5,Mon Mar 06 2023 00:00:00,2407.8,168847,500325,RELIANCE INDUSTRIES LTD.
6,Wed Mar 08 2023 00:00:00,2417.55,99782,500325,RELIANCE INDUSTRIES LTD.
7,Thu Mar 09 2023 00:00:00,2360.15,299619,500325,RELIANCE INDUSTRIES LTD.
8,Fri Mar 10 2023 00:00:00,2323.15,337306,500325,RELIANCE INDUSTRIES LTD.
9,Mon Mar 13 2023 00:00:00,2284.9,330968,500325,RELIANCE INDUSTRIES LTD.
10,Tue Mar 14 2023 00:00:00,2276.5,329326,500325,RELIANCE INDUSTRIES LTD.
11,Wed Mar 15 2023 00:00:00,2236.85,422737,500325,RELIANCE INDUSTRIES LTD.
12,Thu Mar 16 2023 00:00:00,2226.05,253732,500325,RELIANCE INDUSTRIES LTD.
13,Fri Mar 17 2023 00:00:00,2223.05,366281,500325,RELIANCE INDUSTRIES LTD.
14,Mon Mar 20 2023 00:00:00,2201.6,225747,500325,RELIANCE INDUSTRIES LTD.
15,Tue Mar 21 2023 00:00:00,2270.05,441746,500325,RELIANCE INDUSTRIES LTD.
16,Wed Mar 22 2023 00:00:00,2276.65,230717,500325,RELIANCE INDUSTRIES LTD.
17,Thu Mar 23 2023 00:00:00,2247.55,208447,500325,RELIANCE INDUSTRIES LTD.
18,Fri Mar 24 2023 00:00:00,2203.5,178216,500325,RELIANCE INDUSTRIES LTD.
19,Mon Mar 27 2023 00:00:00,2237.5,315446,500325,RELIANCE INDUSTRIES LTD.
20,Tue Mar 28 2023 00:00:00,2247.95,113718,500325,RELIANCE INDUSTRIES LTD.
21,Wed Mar 29 2023 00:00:00,2235.25,159031,500325,RELIANCE INDUSTRIES LTD.
22,Fri Mar 31 2023 00:00:00,2331.05,617169,500325,RELIANCE INDUSTRIES LTD.
23,Mon Apr 03 2023 00:00:00,2331.75,214215,500325,RELIANCE INDUSTRIES LTD.
24,Wed Apr 05 2023 00:00:00,2325.5,258000,500325,RELIANCE INDUSTRIES LTD.
25,Thu Apr 06 2023 00:00:00,2341.0,144642,500325,RELIANCE INDUSTRIES LTD.
26,Mon Apr 10 2023 00:00:00,2324.6,93595,500325,RELIANCE INDUSTRIES LTD.
27,Tue Apr 11 2023 00:00:00,2336.3,105010,500325,RELIANCE INDUSTRIES LTD.
28,Wed Apr 12 2023 00:00:00,2346.4,198164,500325,RELIANCE INDUSTRIES LTD.
29,Thu Apr 13 2023 00:00:00,2355.65,212068,500325,RELIANCE INDUSTRIES LTD.
30,Mon Apr 17 2023 00:00:00,2366.8,294432,500325,RELIANCE INDUSTRIES LTD.
31,Tue Apr 18 2023 00:00:00,2340.05,151805,500325,RELIANCE INDUSTRIES LTD.
32,Wed Apr 19 2023 00:00:00,2351.65,96087,500325,RELIANCE INDUSTRIES LTD.
33,Thu Apr 20 2023 00:00:00,2345.7,140197,500325,RELIANCE INDUSTRIES LTD.
34,Fri Apr 21 2023 00:00:00,2348.9,99384,500325,RELIANCE INDUSTRIES LTD.
35,Mon Apr 24 2023 00:00:00,2357.15,253679,500325,RELIANCE INDUSTRIES LTD.
36,Tue Apr 25 2023 00:00:00,2375.1,92349,500325,RELIANCE INDUSTRIES LTD.
37,Wed Apr 26 2023 00:00:00,2362.05,145620,500325,RELIANCE INDUSTRIES LTD.
38,Thu Apr 27 2023 00:00:00,2377.5,85772,500325,RELIANCE INDUSTRIES LTD.
39,Fri Apr 28 2023 00:00:00,2420.2,394972,500325,RELIANCE INDUSTRIES LTD.
40,Tue May 02 2023 00:00:00,2441.05,145848,500325,RELIANCE INDUSTRIES LTD.
41,Wed May 03 2023 00:00:00,2419.8,89389,500325,RELIANCE INDUSTRIES LTD.
42,Thu May 04 2023 00:00:00,2447.8,88436,500325,RELIANCE INDUSTRIES LTD.
43,Fri May 05 2023 00:00:00,2441.3,81483,500325,RELIANCE INDUSTRIES LTD.
44,Mon May 08 2023 00:00:00,2471.35,92596,500325,RELIANCE INDUSTRIES LTD.
45,Tue May 09 2023 00:00:00,2479.15,65220,500325,RELIANCE INDUSTRIES LTD.
46,Wed May 10 2023 00:00:00,2496.3,99083,500325,RELIANCE INDUSTRIES LTD.
47,Thu May 11 2023 00:00:00,2478.3,98850,500325,RELIANCE INDUSTRIES LTD.
48,Fri May 12 2023 00:00:00,2484.1,61427,500325,RELIANCE INDUSTRIES LTD.
49,Mon May 15 2023 00:00:00,2488.15,67628,500325,RELIANCE INDUSTRIES LTD.
50,Tue May 16 2023 00:00:00,2453.85,83298,500325,RELIANCE INDUSTRIES LTD.
51,Wed May 17 2023 00:00:00,2438.8,158298,500325,RELIANCE INDUSTRIES LTD.
52,Thu May 18 2023 00:00:00,2433.85,56823,500325,RELIANCE INDUSTRIES LTD.
53,Fri May 19 2023 00:00:00,2442.8,54880,500325,RELIANCE INDUSTRIES LTD.
54,Mon May 22 2023 00:00:00,2454.5,144136,500325,RELIANCE INDUSTRIES LTD.
55,Tue May 23 2023 00:00:00,2454.1,87497,500325,RELIANCE INDUSTRIES LTD.
56,Wed May 24 2023 00:00:00,2437.05,154319,500325,RELIANCE INDUSTRIES LTD.
57,Thu May 25 2023 00:00:00,2438.55,186194,500325,RELIANCE INDUSTRIES LTD.
58,Fri May 26 2023 00:00:00,2506.55,261121,500325,RELIANCE INDUSTRIES LTD.
59,Mon Feb 27 2023 00:00:00,3331.85,30683,532540,TATA CONSULTANCY SERVICES LTD.
60,Tue Feb 28 2023 00:00:00,3314.15,56090,532540,TATA CONSULTANCY SERVICES LTD.
61,Wed Mar 01 2023 00:00:00,3385.85,48789,532540,TATA CONSULTANCY SERVICES LTD.
62,Thu Mar 02 2023 00:00:00,3321.15,48727,532540,TATA CONSULTANCY SERVICES LTD.
63,Fri Mar 03 2023 00:00:00,3342.75,15677,532540,TATA CONSULTANCY SERVICES LTD.
64,Mon Mar 06 2023 00:00:00,3371.5,57870,532540,TATA CONSULTANCY SERVICES LTD.
65,Wed Mar 08 2023 00:00:00,3389.7,30873,532540,TATA CONSULTANCY SERVICES LTD.
66,Thu Mar 09 2023 00:00:00,3337.45,48171,532540,TATA CONSULTANCY SERVICES LTD.
67,Fri Mar 10 2023 00:00:00,3331.05,54663,532540,TATA CONSULTANCY SERVICES LTD.
68,Mon Mar 13 2023 00:00:00,3282.4,81352,532540,TATA CONSULTANCY SERVICES LTD.
69,Tue Mar 14 2023 00:00:00,3216.85,240605,532540,TATA CONSULTANCY SERVICES LTD.
70,Wed Mar 15 2023 00:00:00,3198.75,95877,532540,TATA CONSULTANCY SERVICES LTD.
71,Thu Mar 16 2023 00:00:00,3184.75,52784,532540,TATA CONSULTANCY SERVICES LTD.
72,Fri Mar 17 2023 00:00:00,3178.95,269767,532540,TATA CONSULTANCY SERVICES LTD.
73,Mon Mar 20 2023 00:00:00,3141.2,52684,532540,TATA CONSULTANCY SERVICES LTD.
74,Tue Mar 21 2023 00:00:00,3105.9,34240,532540,TATA CONSULTANCY SERVICES LTD.
75,Wed Mar 22 2023 00:00:00,3130.7,33080,532540,TATA CONSULTANCY SERVICES LTD.
76,Thu Mar 23 2023 00:00:00,3124.0,26541,532540,TATA CONSULTANCY SERVICES LTD.
77,Fri Mar 24 2023 00:00:00,3121.45,34882,532540,TATA CONSULTANCY SERVICES LTD.
78,Mon Mar 27 2023 00:00:00,3120.1,77555,532540,TATA CONSULTANCY SERVICES LTD.
79,Tue Mar 28 2023 00:00:00,3115.5,31013,532540,TATA CONSULTANCY SERVICES LTD.
80,Wed Mar 29 2023 00:00:00,3138.1,25771,532540,TATA CONSULTANCY SERVICES LTD.
81,Fri Mar 31 2023 00:00:00,3205.8,39813,532540,TATA CONSULTANCY SERVICES LTD.
82,Mon Apr 03 2023 00:00:00,3199.25,29210,532540,TATA CONSULTANCY SERVICES LTD.
83,Wed Apr 05 2023 00:00:00,3236.8,188173,532540,TATA CONSULTANCY SERVICES LTD.
84,Thu Apr 06 2023 00:00:00,3221.7,139159,532540,TATA CONSULTANCY SERVICES LTD.
