,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Raw PDF,quarter(10yrs),ScripCode,Revenue,Financing Profit,Financing Margin %,Gross NPA %,Net NPA %
842,4644,3522,1122,24%,113,31,292,912,35%,593,2.30,,Jun 2020,500425,,,,,
843,6169,4820,1350,22%,100,34,290,1125,29%,804,3.13,,Sep 2020,500425,,,,,
844,7453,6110,1342,18%,-70,41,283,948,-2%,968,3.69,,Dec 2020,500425,,,,,
845,7715,5876,1838,24%,104,32,269,1642,25%,1228,4.77,,Mar 2021,500425,,,,,
846,6978,5151,1827,26%,82,39,277,1593,27%,1161,4.42,,Jun 2021,500425,,,,,
847,6647,5231,1416,21%,98,36,276,1201,26%,891,3.35,,Sep 2021,500425,,,,,
848,7625,6497,1128,15%,-31,38,330,728,41%,431,1.46,,Dec 2021,500425,,,,,
849,7900,6476,1424,18%,97,32,306,1183,28%,856,3.32,,Mar 2022,500425,,,,,
850,8033,6918,1115,14%,139,40,319,895,3%,865,3.79,,Jun 2022,500425,,,,,
851,7143,6809,334,5%,75,41,331,39,-33%,51,0.47,,Sep 2022,500425,,,,,
852,7907,6885,1021,13%,-18,43,337,623,22%,488,2.19,,Dec 2022,500425,,,,,
853,7966,6727,1239,16%,142,39,352,989,23%,763,3.25,,Mar 2023,500425,,,,,
854,1522,1509,13,1%,103,3,27,85,24%,65,3.05,,Mar 2020,500002,,,,,
855,986,963,23,2%,29,4,25,23,29%,16,0.77,,Jun 2020,500002,,,,,
856,1612,1496,117,7%,20,3,25,109,26%,81,3.81,,Sep 2020,500002,,,,,
857,1701,1620,81,5%,32,7,30,76,24%,58,2.72,,Dec 2020,500002,,,,,
858,1629,1506,123,8%,100,3,25,194,27%,141,6.67,,Mar 2021,500002,,,,,
859,1425,1338,87,6%,33,2,26,92,24%,70,3.32,,Jun 2021,500002,,,,,
860,1778,1597,181,10%,15,2,29,165,27%,120,5.66,,Sep 2021,500002,,,,,
861,2102,1916,185,9%,101,4,23,260,28%,188,8.88,,Dec 2021,500002,,,,,
862,1968,1780,188,10%,334,1,26,494,25%,373,17.61,,Mar 2022,500002,,,,,
863,2053,1854,199,10%,19,3,25,189,26%,140,6.62,,Jun 2022,500002,,,,,
864,2120,1909,211,10%,88,2,27,270,27%,198,9.32,,Sep 2022,500002,,,,,
865,2427,2063,364,15%,69,7,27,400,24%,305,14.41,,Dec 2022,500002,,,,,
866,2411,2126,285,12%,72,2,27,328,25%,245,11.56,,Mar 2023,500002,,,,,
867,2217,1973,244,11%,21,5,63,198,10%,178,2.84,,Mar 2020,517354,,,,,
868,1483,1352,132,9%,32,17,60,87,26%,64,1.02,,Jun 2020,517354,,,,,
869,2459,2038,422,17%,80,17,59,425,23%,326,5.21,,Sep 2020,517354,,,,,
870,3175,2665,510,16%,39,15,64,470,25%,350,5.59,,Dec 2020,517354,,,,,
871,3339,2831,508,15%,37,24,65,456,33%,304,4.85,,Mar 2021,517354,,,,,
872,2610,2255,355,14%,34,11,62,317,26%,236,3.76,,Jun 2021,517354,,,,,
873,3238,2793,445,14%,33,11,62,405,25%,302,4.83,,Sep 2021,517354,,,,,
874,3664,3224,440,12%,49,12,66,411,26%,306,4.88,,Dec 2021,517354,,,,,
875,4426,3906,520,12%,44,19,71,474,26%,352,5.63,,Mar 2022,517354,,,,,
876,4244,3883,362,9%,48,10,72,327,26%,243,3.88,,Jun 2022,517354,,,,,
877,3679,3393,287,8%,44,7,72,252,26%,187,2.98,,Sep 2022,517354,,,,,
878,4128,3704,424,10%,40,7,75,381,26%,284,4.53,,Dec 2022,517354,,,,,
879,4859,4332,527,11%,47,10,77,487,26%,358,5.71,,Mar 2023,517354,,,,,
880,5817,4323,1494,26%,29,2,101,1420,27%,1047,1.43,,Mar 2020,500049,,,,,
881,1676,1530,146,9%,16,0,94,68,31%,54,0.07,,Jun 2020,500049,,,,,
882,3195,2568,627,20%,27,0,97,558,29%,399,0.55,,Sep 2020,500049,,,,,
883,2320,1864,456,20%,24,0,100,380,29%,278,0.38,,Dec 2020,500049,,,,,
884,6917,4937,1981,29%,58,6,97,1936,30%,1368,1.87,,Mar 2021,500049,,,,,
885,1649,1579,70,4%,45,0,97,18,27%,24,0.03,,Jun 2021,500049,,,,,
886,3678,2814,864,23%,62,0,99,826,26%,625,0.85,,Sep 2021,500049,,,,,
887,3702,2872,829,22%,60,0,98,791,26%,596,0.82,,Dec 2021,500049,,,,,
888,6340,4762,1578,25%,64,4,106,1531,25%,1155,1.58,,Mar 2022,500049,,,,,
889,3141,2618,522,17%,82,1,99,504,29%,366,0.50,,Jun 2022,500049,,,,,
890,3962,3093,868,22%,74,2,109,831,26%,624,0.85,,Sep 2022,500049,,,,,
891,4153,3290,863,21%,59,10,106,806,25%,614,0.84,,Dec 2022,500049,,,,,
892,6479,4647,1832,28%,66,2,114,1782,23%,1382,1.89,,Mar 2023,500049,,,,,
893,68998,69578,-580,-1%,-646,689,1043,-2959,39%,-1820,-8.52,,Mar 2020,500547,,,,,
894,37999,33739,4260,11%,585,691,1073,3081,29%,2188,9.38,,Jun 2020,500547,,,,,
895,49409,44215,5193,11%,-14,108,1065,4007,35%,2590,10.43,,Sep 2020,500547,,,,,
896,66075,61349,4726,7%,251,345,1073,3559,47%,1901,7.22,,Dec 2020,500547,,,,,
897,76688,70366,6322,8%,7167,579,1124,11786,10%,10642,47.49,,Mar 2021,500547,,,,,
898,70946,67821,3125,4%,1979,582,1150,3372,15%,2873,13.24,,Jun 2021,500547,,,,,
899,76439,71474,4965,6%,1131,611,1349,4136,23%,3201,14.76,,Sep 2021,500547,,,,,
900,95121,90019,5102,5%,688,660,1394,3737,26%,2759,12.72,,Dec 2021,500547,,,,,
901,104080,98126,5954,6%,1131,752,1603,4730,41%,2803,12.92,,Mar 2022,500547,,,,,
902,121082,126906,-5824,-5%,615,710,1617,-7537,18%,-6148,-28.34,,Jun 2022,500547,,,,,
903,114820,113406,1415,1%,673,937,1561,-410,17%,-338,-1.56,,Sep 2022,500547,,,,,
904,119170,114957,4213,4%,415,1128,1586,1913,9%,1747,8.05,,Dec 2022,500547,,,,,
905,118115,107031,11085,9%,344,970,1605,8854,22%,6870,31.67,,Mar 2023,500547,,,,,
906,110,40,70,64%,526,5,9,583,29%,414,32.47,,Mar 2020,500490,,,,,
907,90,23,68,75%,650,1,8,708,4%,680,61.02,,Jun 2020,500490,,,,,
908,116,22,94,81%,816,1,8,901,3%,873,78.36,,Sep 2020,500490,,,,,
909,100,27,74,73%,1111,1,8,1175,2%,1151,103.29,,Dec 2020,500490,,,,,
910,92,34,58,63%,933,1,8,982,3%,950,85.27,,Mar 2021,500490,,,,,
911,98,28,69,71%,741,1,8,801,3%,780,69.96,,Jun 2021,500490,,,,,
912,147,25,122,83%,1131,1,8,1244,4%,1198,101.67,,Sep 2021,500490,,,,,
913,96,31,64,67%,1004,1,8,1059,2%,1042,93.46,,Dec 2021,500490,,,,,
914,89,33,57,64%,1074,1,8,1122,1%,1106,99.32,,Mar 2022,500490,,,,,
915,91,37,54,60%,938,1,8,984,1%,970,87.10,,Jun 2022,500490,,,,,
916,188,37,151,81%,1214,1,8,1356,1%,1336,111.67,,Sep 2022,500490,,,,,
917,98,37,62,63%,1252,1,8,1305,1%,1287,115.52,,Dec 2022,500490,,,,,
918,87,32,55,63%,1326,5,8,1368,1%,1353,121.55,,Mar 2023,500490,,,,,
919,4376,3743,634,14%,93,53,346,328,26%,238,3.05,,Mar 2020,500087,,,,,
920,4346,3297,1049,24%,65,46,269,799,28%,566,7.17,,Jun 2020,500087,,,,,
921,5038,3862,1177,23%,53,39,265,926,28%,659,8.25,,Sep 2020,500087,,,,,
922,5169,3938,1231,24%,87,48,248,1021,26%,752,9.28,,Dec 2020,500087,,,,,
923,4606,3810,796,17%,60,27,285,544,24%,412,5.13,,Mar 2021,500087,,,,,
924,5504,4158,1346,24%,-60,30,261,996,28%,710,8.86,,Jun 2021,500087,,,,,
925,5520,4294,1226,22%,61,38,253,996,28%,709,8.82,,Sep 2021,500087,,,,,
926,5479,4248,1231,22%,91,21,247,1054,28%,757,9.03,,Dec 2021,500087,,,,,
927,5260,4511,750,14%,7,18,290,448,16%,371,4.49,,Mar 2022,500087,,,,,
928,5375,4232,1143,21%,103,18,254,975,28%,706,8.51,,Jun 2022,500087,,,,,
929,5829,4526,1302,22%,123,26,299,1100,28%,797,9.78,,Sep 2022,500087,,,,,
930,5810,4403,1408,24%,114,32,272,1218,34%,808,9.92,,Dec 2022,500087,,,,,
931,5739,4566,1174,20%,-48,34,346,745,30%,522,6.51,,Mar 2023,500087,,,,,
932,4449,3500,949,21%,84,23,274,736,-6%,781,47.01,,Mar 2020,500124,,,,,
933,4426,3305,1121,25%,95,23,292,900,34%,595,35.77,,Jun 2020,500124,,,,,
934,4911,3755,1156,24%,58,25,316,873,12%,772,46.42,,Sep 2020,500124,,,,,
935,4942,4403,539,11%,86,19,311,295,91%,28,1.68,,Dec 2020,500124,,,,,
936,4768,3715,1053,22%,100,30,309,815,32%,557,33.51,,Mar 2021,500124,,,,,
937,4945,4211,734,15%,124,19,284,556,32%,380,22.87,,Jun 2021,500124,,,,,
938,5787,4427,1360,24%,230,23,294,1272,22%,996,59.84,,Sep 2021,500124,,,,,
939,5338,4123,1216,23%,74,22,294,974,27%,709,42.62,,Dec 2021,500124,,,,,
940,5475,5024,451,8%,132,32,293,259,63%,97,5.83,,Mar 2022,500124,,,,,
941,5233,4292,941,18%,863,35,302,1468,19%,1189,71.44,,Jun 2022,500124,,,,,
942,6332,4433,1899,30%,55,31,309,1614,31%,1114,66.93,,Sep 2022,500124,,,,,
943,6790,4851,1939,29%,65,42,324,1638,24%,1244,74.70,,Dec 2022,500124,,,,,
944,6315,4781,1534,24%,146,35,316,1329,28%,960,57.65,,Mar 2023,500124,,,,,
945,1858,1505,353,19%,6,47,101,211,12%,186,6.46,,Mar 2020,503806,,,,,
946,1545,1182,363,24%,10,43,104,226,22%,177,6.16,,Jun 2020,503806,,,,,
947,2101,1529,572,27%,10,36,114,432,27%,315,10.97,,Sep 2020,503806,,,,,
948,2146,1580,566,26%,22,28,117,443,27%,325,10.96,,Dec 2020,503806,,,,,
949,2608,1965,643,25%,13,26,118,511,25%,381,12.86,,Mar 2021,503806,,,,,
950,2699,2028,672,25%,14,27,123,535,26%,395,13.35,,Jun 2021,503806,,,,,
951,2839,2164,675,24%,11,23,130,532,28%,382,12.91,,Sep 2021,503806,,,,,
952,3346,2464,881,26%,11,29,132,730,31%,506,17.05,,Dec 2021,503806,,,,,
953,3549,2601,948,27%,7,36,132,788,23%,606,20.43,,Mar 2022,503806,,,,,
954,3895,2900,995,26%,10,32,131,842,28%,608,20.51,,Jun 2022,503806,,,,,
955,3728,2959,769,21%,33,44,139,618,22%,481,16.23,,Sep 2022,503806,,,,,
956,3470,2636,834,24%,10,62,151,631,19%,511,17.24,,Dec 2022,503806,,,,,
957,3778,2846,932,25%,22,66,155,733,23%,562,18.97,,Mar 2023,503806,,,,,
958,2405,2097,308,13%,-242,19,64,-17,-198%,-122,-0.83,,Mar 2020,500800,,,,,
959,2714,2231,483,18%,96,17,62,499,22%,346,3.55,,Jun 2020,500800,,,,,
960,2781,2382,400,14%,2,18,63,321,27%,273,2.79,,Sep 2020,500800,,,,,
961,3070,2708,361,12%,13,18,64,292,19%,237,2.37,,Dec 2020,500800,,,,,
962,3037,2737,300,10%,-21,15,66,198,33%,74,0.58,,Mar 2021,500800,,,,,
963,3008,2609,399,13%,24,20,67,336,28%,200,2.01,,Jun 2021,500800,,,,,
964,3033,2620,413,14%,23,20,69,348,25%,286,2.91,,Sep 2021,500800,,,,,
965,3208,2747,462,14%,12,16,70,388,26%,290,2.88,,Dec 2021,500800,,,,,
966,3175,2731,444,14%,29,16,72,385,25%,239,2.36,,Mar 2022,500800,,,,,
967,3327,2870,457,14%,11,16,73,379,27%,277,2.77,,Jun 2022,500800,,,,,
968,3363,2929,434,13%,141,20,73,482,26%,389,3.56,,Sep 2022,500800,,,,,
969,3475,3021,454,13%,128,24,75,482,23%,364,3.79,,Dec 2022,500800,,,,,
970,3619,3107,512,14%,49,28,83,450,23%,290,2.89,,Mar 2023,500800,,,,,
971,17923,15081,2842,16%,1612,216,640,3599,-34%,4814,6.99,,Mar 2020,532155,,,,,
972,12174,11480,694,6%,609,53,521,729,12%,643,0.97,,Jun 2020,532155,,,,,
973,13799,12373,1426,10%,584,32,546,1432,25%,1068,1.64,,Sep 2020,532155,,,,,
974,15658,13419,2239,14%,705,37,561,2346,19%,1897,2.78,,Dec 2020,532155,,,,,
975,15738,12855,2882,18%,940,58,546,3219,21%,2535,3.73,,Mar 2021,532155,,,,,
976,17571,14932,2640,15%,543,52,590,2540,15%,2157,3.21,,Jun 2021,532155,,,,,
977,21758,18136,3622,17%,757,46,604,3728,23%,2873,4.33,,Sep 2021,532155,,,,,
978,26145,21518,4627,18%,847,47,608,4820,21%,3800,5.68,,Dec 2021,532155,,,,,
979,27328,23064,4264,16%,788,57,619,4375,21%,3474,5.19,,Mar 2022,532155,,,,,
980,37897,33350,4547,12%,419,58,677,4230,23%,3251,4.95,,Jun 2022,532155,,,,,
981,38680,36777,1904,5%,548,82,695,1675,22%,1305,2.00,,Sep 2022,532155,,,,,
982,35940,35458,482,1%,999,120,699,662,40%,398,0.63,,Dec 2022,532155,,,,,
983,33264,32708,556,2%,871,107,631,689,7%,643,0.96,,Mar 2023,532155,,,,,
984,1496,1215,281,19%,22,13,38,252,21%,199,1.50,,Mar 2020,531642,,,,,
985,1925,1460,465,24%,83,9,34,505,23%,388,2.95,,Jun 2020,531642,,,,,
986,1989,1600,389,20%,-6,8,33,342,20%,273,2.04,,Sep 2020,531642,,,,,
987,2122,1709,413,19%,24,7,36,394,21%,312,2.38,,Dec 2020,531642,,,,,
988,2012,1693,319,16%,10,10,36,283,20%,227,1.70,,Mar 2021,531642,,,,,
989,2525,2044,481,19%,27,8,33,467,22%,365,2.76,,Jun 2021,531642,,,,,
990,2419,1996,423,17%,25,10,33,405,22%,316,2.39,,Sep 2021,531642,,,,,
991,2407,1976,431,18%,22,10,36,407,22%,317,2.40,,Dec 2021,531642,,,,,
992,2161,1815,346,16%,24,11,37,322,20%,257,1.94,,Mar 2022,531642,,,,,
993,2558,2030,528,21%,17,10,36,499,24%,377,2.87,,Jun 2022,531642,,,,,
994,2496,2063,433,17%,19,15,37,400,23%,307,2.33,,Sep 2022,531642,,,,,
995,2470,2014,456,18%,40,14,39,443,25%,333,2.54,,Dec 2022,531642,,,,,
996,2240,1847,393,18%,68,17,43,401,24%,305,2.34,,Mar 2023,531642,,,,,
997,6621,5413,1208,18%,1068,1091,687,498,5%,475,1.49,,Mar 2020,500400,,,,,
998,6453,4744,1708,26%,483,1089,644,457,41%,268,0.76,,Jun 2020,500400,,,,,
999,8290,6323,1967,24%,486,1065,699,689,46%,371,0.88,,Sep 2020,500400,,,,,
1000,7598,5864,1734,23%,391,966,738,421,24%,318,0.78,,Dec 2020,500400,,,,,
1001,10363,8937,1425,14%,502,890,663,373,-29%,481,1.23,,Mar 2021,500400,,,,,
1002,10132,7984,2149,21%,582,945,747,1038,55%,466,1.22,,Jun 2021,500400,,,,,
1003,9810,8481,1329,14%,1026,946,771,638,21%,506,1.32,,Sep 2021,500400,,,,,
1004,10913,9279,1634,15%,865,953,758,788,30%,552,1.33,,Dec 2021,500400,,,,,
1005,11960,10091,1869,16%,62,1015,846,71,-794%,632,1.57,,Mar 2022,500400,,,,,
1006,14495,12812,1683,12%,1227,1026,822,1062,17%,884,2.49,,Jun 2022,500400,,,,,
1007,14031,12270,1760,13%,1502,1052,838,1373,32%,935,2.56,,Sep 2022,500400,,,,,
1008,14129,11810,2319,16%,1497,1098,853,1864,44%,1052,2.96,,Dec 2022,500400,,,,,
1009,12454,10526,1928,15%,1352,1196,926,1158,19%,939,2.43,,Mar 2023,500400,,,,,
1010,2912,2482,430,15%,10,137,157,145,38%,90,6.62,,Dec 2019,508869,,,,,
1011,2922,2542,380,13%,203,135,164,284,26%,210,15.77,,Mar 2020,508869,,,,,
1012,2172,2159,13,1%,8,127,160,-267,15%,-226,-14.96,,Jun 2020,508869,,,,,
1013,2761,2470,291,11%,47,122,149,66,10%,59,4.33,,Sep 2020,508869,,,,,
1014,2760,2370,390,14%,21,101,125,185,28%,134,9.38,,Dec 2020,508869,,,,,
1015,2868,2456,412,14%,63,99,138,238,28%,170,11.67,,Mar 2021,508869,,,,,
1016,3760,3244,516,14%,319,95,141,599,16%,501,34.03,,Jun 2021,508869,,,,,
1017,3717,3102,615,17%,8,95,145,383,30%,267,17.24,,Sep 2021,508869,,,,,
1018,3639,3052,587,16%,23,94,149,367,34%,243,15.88,,Dec 2021,508869,,,,,
1019,3546,3083,463,13%,34,95,166,236,59%,97,6.27,,Mar 2022,508869,,,,,
1020,3796,3317,479,13%,16,93,148,254,-27%,324,22.05,,Jun 2022,508869,,,,,
1021,4251,3699,552,13%,23,93,155,327,35%,213,14.19,,Sep 2022,508869,,,,,
1022,4264,3780,484,11%,35,100,153,266,39%,162,10.67,,Dec 2022,508869,,,,,
1023,-8338,-7749,-589,,817,0,0,228,22%,179,1.24,,Mar 2020,540133,,,,,
1024,18746,18853,-106,-1%,439,0,0,333,14%,287,2.00,,Jun 2020,540133,,,,,
1025,16691,16641,50,0%,314,0,0,364,17%,302,2.11,,Sep 2020,540133,,,,,
1026,28463,28412,51,0%,299,0,0,350,13%,304,2.12,,Dec 2020,540133,,,,,
1027,19282,19726,-444,-2%,616,0,0,172,64%,63,0.44,,Mar 2021,540133,,,,,
1028,16211,17341,-1130,-7%,914,0,0,-215,14%,-185,-1.29,,Jun 2021,540133,,,,,
1029,23161,22960,201,1%,301,0,0,502,11%,446,3.10,,Sep 2021,540133,,,,,
1030,9930,9628,302,3%,58,0,0,359,13%,312,2.17,,Dec 2021,540133,,,,,
1031,13003,13701,-698,-5%,1013,0,0,315,41%,187,1.30,,Mar 2022,540133,,,,,
1032,-1611,-1483,-128,,328,0,0,201,22%,157,1.09,,Jun 2022,540133,,,,,
1033,22605,22869,-264,-1%,507,0,0,243,18%,200,1.39,,Sep 2022,540133,,,,,
1034,17426,17502,-76,-0%,352,0,0,277,20%,222,1.54,,Dec 2022,540133,,,,,
1035,10984,11400,-416,-4%,780,0,0,364,35%,235,1.64,,Mar 2023,540133,,,,,
1036,1355,1149,206,15%,17,14,49,159,35%,103,1.07,,Mar 2020,509480,,,,,
1037,931,843,88,9%,8,12,50,33,54%,15,0.16,,Jun 2020,509480,,,,,
1038,1743,1408,334,19%,23,11,54,293,24%,221,2.27,,Sep 2020,509480,,,,,
1039,2118,1703,415,20%,17,9,53,370,26%,275,2.83,,Dec 2020,509480,,,,,
1040,2026,1692,334,17%,15,12,54,283,26%,209,2.15,,Mar 2021,509480,,,,,
1041,1798,1561,238,13%,17,10,55,190,26%,140,1.45,,Jun 2021,509480,,,,,
1042,2225,1871,354,16%,13,13,56,298,27%,219,2.25,,Sep 2021,509480,,,,,
1043,2551,2159,392,15%,15,14,56,337,25%,253,2.60,,Dec 2021,509480,,,,,
1044,2188,1841,346,16%,24,15,60,296,26%,220,2.27,,Mar 2022,509480,,,,,
1045,2760,2355,405,15%,17,16,63,342,26%,254,2.61,,Jun 2022,509480,,,,,
1046,2671,2307,364,14%,16,24,62,293,25%,220,2.26,,Sep 2022,509480,,,,,
1047,2694,2344,350,13%,13,30,64,269,25%,201,2.07,,Dec 2022,509480,,,,,
1048,2444,2097,347,14%,15,29,74,258,28%,186,1.91,,Mar 2023,509480,,,,,
1049,1990,1744,247,12%,74,53,85,184,73%,49,0.80,,Mar 2020,532432,,,,,
1050,1032,1124,-92,-9%,-70,56,74,-292,15%,-247,-3.32,,Jun 2020,532432,,,,,
1051,2196,1906,290,13%,11,56,69,176,29%,125,1.78,,Sep 2020,532432,,,,,
1052,2673,2216,457,17%,39,43,79,374,25%,280,3.95,,Dec 2020,532432,,,,,
1053,2230,1834,396,18%,-5,33,77,281,28%,203,2.87,,Mar 2021,532432,,,,,
1054,1722,1533,188,11%,-38,25,74,51,2%,50,0.76,,Jun 2021,532432,,,,,
1055,2508,2038,469,19%,4,7,76,390,27%,286,4.02,,Sep 2021,532432,,,,,
1056,2947,2429,519,18%,0,39,76,404,27%,295,4.12,,Dec 2021,532432,,,,,
1057,2536,2104,432,17%,-97,16,77,241,26%,179,2.50,,Mar 2022,532432,,,,,
1058,2419,2047,372,15%,-12,22,83,254,-3%,261,3.66,,Jun 2022,532432,,,,,
1059,2911,2474,437,15%,389,21,66,739,26%,548,7.61,,Sep 2022,532432,,,,,
1060,2779,2407,372,13%,-127,24,65,155,-38%,214,2.95,,Dec 2022,532432,,,,,
1061,2503,2268,235,9%,0,36,69,130,21%,103,1.41,,Mar 2023,532432,,,,,
1062,4105,3585,519,13%,-16,232,157,115,29%,82,1.56,,Mar 2020,532343,,,,,
1063,1940,1869,71,4%,7,213,105,-241,24%,-183,-3.78,,Jun 2020,532343,,,,,
1064,5254,4624,631,12%,14,239,150,255,29%,181,3.79,,Sep 2020,532343,,,,,
1065,6095,5346,749,12%,15,221,150,393,26%,290,5.97,,Dec 2020,532343,,,,,
1066,6132,5354,778,13%,5,209,159,414,23%,319,6.53,,Mar 2021,532343,,,,,
1067,4689,4274,415,9%,-34,221,164,-3,-337%,-15,-0.22,,Jun 2021,532343,,,,,
1068,6483,5744,740,11%,8,223,182,343,32%,234,5.10,,Sep 2021,532343,,,,,
1069,6597,5828,770,12%,14,234,190,359,34%,237,5.21,,Dec 2021,532343,,,,,
1070,6585,5760,826,13%,12,263,207,368,25%,275,5.84,,Mar 2022,532343,,,,,
1071,7316,6420,896,12%,31,292,199,436,32%,297,6.43,,Jun 2022,532343,,,,,
1072,8561,7490,1071,13%,30,338,212,550,32%,373,8.13,,Sep 2022,532343,,,,,
1073,8066,7055,1011,13%,8,339,216,464,35%,304,6.33,,Dec 2022,532343,,,,,
1074,8031,6982,1049,13%,67,398,232,486,31%,336,7.07,,Mar 2023,532343,,,,,
1075,10229,9914,316,3%,8,84,68,172,35%,111,9.71,,Dec 2020,543458,,,,,
1076,10672,10320,352,3%,26,111,66,202,-46%,295,25.81,,Mar 2021,543458,,,,,
1077,11312,10933,379,3%,57,142,68,226,26%,168,1.47,,Jun 2021,543458,,,,,
1078,13008,12583,425,3%,24,144,69,237,26%,176,1.54,,Sep 2021,543458,,,,,
1079,13763,13256,507,4%,26,138,73,322,25%,241,2.11,,Dec 2021,543458,,,,,
1080,14230,13816,414,3%,61,101,75,299,25%,223,1.72,,Mar 2022,543458,,,,,
1081,14017,13620,396,3%,51,144,77,227,25%,170,1.31,,Jun 2022,543458,,,,,
1082,13410,13152,258,2%,58,151,81,85,27%,62,0.48,,Sep 2022,543458,,,,,
1083,14714,14091,623,4%,76,237,81,381,27%,277,2.13,,Dec 2022,543458,,,,,
1084,13122,12782,339,3%,71,197,81,132,26%,98,0.75,,Mar 2023,543458,,,,,
1085,,3431,,,1406,3241,0,339,51%,166,0.16,,Mar 2020,500116,5605,-1067,-19%,,
1086,,2369,,,1052,3122,0,464,65%,164,0.15,,Jun 2020,500116,4903,-588,-12%,,
1087,,1940,,,922,2993,0,684,51%,337,0.32,,Sep 2020,500116,4695,-238,-5%,,
1088,,2437,,,1483,2753,0,870,54%,399,0.37,,Dec 2020,500116,4577,-613,-13%,,
1089,,3978,,,1197,2540,0,467,-17%,631,0.59,,Mar 2021,500116,5787,-730,-13%,,
1090,,3244,,,1767,2408,0,1035,42%,605,0.56,,Jun 2021,500116,4920,-732,-15%,,
1091,,2095,,,1030,2298,0,795,27%,594,0.55,,Sep 2021,500116,4158,-235,-6%,,
1092,,2592,,,1200,2240,0,997,40%,618,0.57,,Dec 2021,500116,4629,-203,-4%,,
1093,,2463,,,923,2175,0,893,18%,740,0.68,,Mar 2022,500116,4608,-30,-1%,,
1094,,2571,,,1190,2144,0,1114,31%,773,0.71,,Jun 2022,500116,4639,-77,-2%,,
1095,,2430,,,1058,2238,0,1384,45%,782,0.72,,Sep 2022,500116,4994,326,7%,,
1096,,2563,,,923,2304,0,1286,27%,950,0.88,,Dec 2022,500116,5230,363,7%,,
1097,,3167,,,1404,2445,0,1521,21%,1223,1.13,,Mar 2023,500116,5729,118,2%,,
1098,1966,1426,540,27%,53,111,163,319,21%,251,7.42,,Dec 2019,500420,,,,,
1099,1946,1398,548,28%,15,102,168,293,-7%,314,9.28,,Mar 2020,500420,,,,,
1100,2056,1395,661,32%,4,102,161,402,20%,321,9.49,,Jun 2020,500420,,,,,
1101,2017,1382,635,31%,6,92,165,384,19%,310,9.16,,Sep 2020,500420,,,,,
1102,1995,1388,607,30%,8,91,167,357,17%,297,8.78,,Dec 2020,500420,,,,,
1103,1937,1355,582,30%,39,73,165,383,15%,324,9.57,,Mar 2021,500420,,,,,
1104,2134,1457,677,32%,40,68,165,484,32%,330,9.75,,Jun 2021,500420,,,,,
1105,2137,1477,660,31%,51,71,168,472,33%,316,9.34,,Sep 2021,500420,,,,,
1106,2108,1570,538,26%,48,62,167,357,30%,249,7.36,,Dec 2021,500420,,,,,
1107,2131,1570,561,26%,-429,57,162,-87,-36%,-118,-3.49,,Mar 2022,500420,,,,,
1108,2347,1635,712,30%,30,55,155,532,33%,354,10.46,,Jun 2022,500420,,,,,
1109,2291,1612,679,30%,16,69,163,463,33%,312,9.22,,Sep 2022,500420,,,,,
1110,2491,1767,724,29%,-10,102,193,419,32%,283,8.36,,Dec 2022,500420,,,,,
1111,616,719,-103,-17%,-151,83,41,-377,24%,-288,-4.52,,Mar 2020,500093,,,,,
1112,363,476,-113,-31%,-3,82,40,-237,-11%,-263,-3.87,,Jun 2020,500093,,,,,
1113,664,608,56,8%,168,76,32,116,6%,109,1.76,,Sep 2020,500093,,,,,
1114,820,723,97,12%,1242,14,34,1291,67%,425,3.22,,Dec 2020,500093,,,,,
1115,1118,1057,61,5%,255,26,33,258,-285%,993,7.42,,Mar 2021,500093,,,,,
1116,1050,945,105,10%,11,17,28,71,23%,55,0.40,,Jun 2021,500093,,,,,
1117,1454,1283,171,12%,107,17,25,236,15%,202,1.49,,Sep 2021,500093,,,,,
1118,1551,1343,208,13%,423,17,25,589,8%,545,4.03,,Dec 2021,500093,,,,,
1119,1485,1319,166,11%,12,17,23,139,20%,112,0.77,,Mar 2022,500093,,,,,
1120,1665,1473,192,12%,10,5,24,173,25%,130,0.85,,Jun 2022,500093,,,,,
1121,1696,1437,260,15%,11,5,25,241,26%,179,1.17,,Sep 2022,500093,,,,,
1122,1752,1475,277,16%,60,4,23,310,26%,228,1.49,,Dec 2022,500093,,,,,
1123,1903,1627,275,14%,199,2,25,447,5%,426,2.79,,Mar 2023,500093,,,,,
1124,2237,1895,341,15%,-157,5,116,64,-27%,81,27.51,,Mar 2020,500530,,,,,
1125,992,1094,-102,-10%,-24,2,73,-201,40%,-120,-40.84,,Jun 2020,500530,,,,,
1126,2479,2191,288,12%,-299,1,80,-91,29%,-65,-21.97,,Sep 2020,500530,,,,,
1127,3030,2672,358,12%,-35,7,97,219,15%,186,62.98,,Dec 2020,500530,,,,,
1128,3218,2599,619,19%,117,4,92,640,25%,482,163.43,,Mar 2021,500530,,,,,
1129,2444,2137,307,13%,99,3,67,335,23%,260,88.09,,Jun 2021,500530,,,,,
1130,2918,2560,358,12%,124,2,83,398,6%,372,126.13,,Sep 2021,500530,,,,,
1131,3109,2752,358,12%,80,17,85,336,30%,235,79.64,,Dec 2021,500530,,,,,
1132,3311,2870,441,13%,87,7,89,432,19%,351,118.87,,Mar 2022,500530,,,,,
